Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,Decoration,Pattern Type,Recommendation
Sexy,Low,4.6,M,Summer,O-neck,Sleeveless,Empire,Silk,Ruffles,Animal,Yes
Casual,Low,3.9,L,Summer,O-neck,Petal,Natural,Microfiber,Ruffles,Animal,No
Vintage,High,4.9,L,Autumn,O-neck,Full,Natural,Polyster,null,Print,No
Brief,Average,4.6,L,Spring,O-neck,Full,Natural,Silk,Embroidary,Print,Yes
Cute,Low,4.5,M,Summer,O-neck,Butterfly,Natural,Chiffon,Bow,Dot,No
Bohemian,Low,3.8,M,Summer,V-neck,Sleeveless,Empire,Cotton,null,Print,No
Casual,Average,4.1,XL,Summer,O-neck,Full,?,Cotton,null,Solid,No
Novelty,Average,4,Free,Autumn,O-neck,Short,Natural,Polyster,Lace,Print,No
Flare,Average,4,Free,Spring,V-neck,Short,Empire,Cotton,Beading,Solid,Yes
Bohemian,Low,3.5,Free,Summer,V-neck,Sleeveless,Natural,Nylon,null,Animal,Yes
Party,Average,5,Free,Summer,O-neck,Full,Natural,Polyster,Lace,Solid,No
Flare,Average,4.7,Free,Spring,V-neck,Short,?,Nylon,null,Animal,No
Sexy,Low,4.7,M,Winter,O-neck,Threequarter,?,Silk,Lace,Print,Yes
Vintage,Average,4.8,M,Summer,O-neck,Short,Empire,Cotton,null,Animal,Yes
Casual,Low,5,M,Summer,Boat-neck,Short,?,Cotton,Sashes,Solid,No
Casual,Low,3.9,Free,Winter,Boat-neck,Full,?,Polyster,Lace,Print,No
Cute,Average,4.7,L,Spring,O-neck,Short,?,Cotton,Sashes,Solid,Yes
Bohemian,Medium,5,Free,Autumn,O-neck,Full,Natural,Polyster,Hollowout,Patchwork,Yes
Brief,Average,4.3,M,Winter,Peterpan-collor,Threequarter,Natural,Cotton,null,Patchwork,No
Sexy,Average,5,M,Autumn,O-neck,Sleeveless,Empire,Milksilk,null,Animal,Yes
Sexy,Average,4.5,L,Autumn,O-neck,Full,?,Cotton,Beading,Solid,No
